Central African Republic,4800,5000,5400,5900,6100,6300,7000,8400,9200,9500,9600,9500,9600,11000,12000,13000,13000,14000,13000,13000,13000,12000
Chad,2800,3300,3500,3800,4000,4200,4300,4300,4200,4200,4200,4100,4500,5700,6800,7400,8100,8100,7900,7400,7100,6700
Nigeria,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
South Sudan,7900,8500,8900,9700,11000,12000,13000,14000,14000,14000,14000,13000,13000,12000,12000,11000,11000,9800,9100,8400,7600,6900

region,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
