Australia,2020,11564.3875315886
Australia,2019,11285.3103255569
Australia,2018,10443.9463804196
Australia,2017,10476.3415614427
Australia,2016,10248.9823086957
Australia,2015,9844.64205325769
Australia,2014,9293.00099755006
Australia,2013,8566.91307950701
Australia,2012,8207.61740624672
Australia,2011,7817.91760310685
Australia,2010,7070.97275393972
Australia,2009,6446.18693658071
Australia,2008,5568.86334972443
Australia,2007,4957.94183953939
Australia,2006,4271.69971448926
Australia,2005,3859.00872271506
Australia,2004,3185.09900031307
Australia,2003,2647.35431755219
Australia,2002,2112.14652059314
Australia,2001,1685.15650770761
Australia,2000,1252.65710130975
Australia,1999,985.274631867224
Australia,1998,660.920603864741
Australia,1997,464.72504957274
Australia,1996,278.039529290483
Australia,1995,1018.65477684092
Australia,1994,1028.12333203718
Australia,1993,1829.872
Australia,1992,1333.184
Australia,1991,1424.68352
Australia,1990,1424.68352
Austria,2020,1756.58524108168
Austria,2019,1851.02948326483
Austria,2018,1965.74292819456
Austria,2017,1893.86793299601
Austria,2016,1870.56687549904
Austria,2015,1856.4480958289
Austria,2014,1727.44373988958
Austria,2013,1628.74657045518
Austria,2012,1528.17563183529
Austria,2011,1435.2767764848
Austria,2010,1329.22491807366
Austria,2009,1207.27041550879
Austria,2008,1111.38176523873
Austria,2007,1073.5721467535
Austria,2006,1035.86022572038
Austria,2005,1047.0597267695
Austria,2004,1053.64733877675
Austria,2003,995.802736670266
Austria,2002,934.795933170561
Austria,2001,806.645969473713
Austria,2000,682.367092972299
Austria,1999,684.82877503311
Austria,1998,594.129116031378
Austria,1997,502.779115612031
Austria,1996,419.531621003943
Austria,1995,350.747867111609
Austria,1994,257.774055883104
Austria,1993,234.871099046547
Austria,1992,5.63091088563851
Austria,1991,3.88944
Austria,1990,2.43756
Belarus,2020,200.983288509603
Belarus,2019,191.013619144468
Belarus,2018,187.162413503014
Belarus,2017,179.01650835958
Belarus,2016,172.383674933972
Belarus,2015,164.421870722719
Belarus,2014,146.730891892745
Belarus,2013,125.710308045944
Belarus,2012,113.040559204439
Belarus,2011,89.8816930652739
Belarus,2010,80.6339305117989
Belarus,2009,65.2659213591289
Belarus,2008,53.1248379812489
Belarus,2007,45.8702725374289
Belarus,2006,37.8984476689909
Belarus,2005,33.7942120199449
Belarus,2004,29.1449901723952
Belarus,2003,19.8237158712564
Belarus,2002,16.4126478782707
Belarus,2001,13.2181120515818
Belarus,2000,9.12683176598975
Belarus,1999,5.38084889487095
Belarus,1998,5.0432459947537
Belarus,1997,4.61523507243
Belarus,1996,4.279706641038
Belarus,1995,3.884244938319
Belgium,2020,3314.52468914869
Belgium,2019,4000.87841746219
Belgium,2018,4547.99903202024
Belgium,2017,4408.08869911703
Belgium,2016,4052.44338235352
Belgium,2015,4075.47578936417
Belgium,2014,3939.9852392511
Belgium,2013,3679.95590474817
Belgium,2012,3607.93867194388
Belgium,2011,3602.16305221889
Belgium,2010,3196.17424501986
Belgium,2009,2878.08351089865
Belgium,2008,3018.82910389551
Belgium,2007,3040.51486564551
Belgium,2006,2644.25199665641
Belgium,2005,2565.58961479384
Belgium,2004,1741.33440143492
Belgium,2003,1654.75791416407
Belgium,2002,1466.37632067812
Belgium,2001,1234.71212586671
Belgium,2000,1151.43169847747
Belgium,1999,944.044697441823
Belgium,1998,874.923248166335
Belgium,1997,713.727700723111
Belgium,1996,588.867203880323
Belgium,1995,492.859841959021
Belgium,1994,492.166486416449
Belgium,1993,479.448493415056
Belgium,1992,479.448493415056
Bulgaria,2020,1704.48649089651
Bulgaria,2019,6468.71920188343
Bulgaria,2018,5711.56136038525
Bulgaria,2017,4395.72274815423
Bulgaria,2016,3149.25507456501
Bulgaria,2015,2671.71326450328
Bulgaria,2014,2407.73804818397
Bulgaria,2013,2101.58265203539
Bulgaria,2012,823.223675448131
Bulgaria,2011,752.754347407925
Bulgaria,2010,663.128258748596
Bulgaria,2009,639.19275876928
Bulgaria,2008,625.955037511925
Bulgaria,2007,385.845500451384
Bulgaria,2006,297.169719226217
Bulgaria,2005,195.229966882568
Bulgaria,2004,119.981248463135
Bulgaria,2003,83.7990196293814
Bulgaria,2002,61.3338390236017
Bulgaria,2001,45.6992205919561
Bulgaria,2000,33.0390984983775
Bulgaria,1999,21.6303123467281
Bulgaria,1998,13.9847906037498
Bulgaria,1997,9.28261237252784
Bulgaria,1996,5.84327890930476
Bulgaria,1995,3.32842472977408
Bulgaria,1994,1.09677551311342
Bulgaria,1993,0.02303703221005
Bulgaria,1992,0.010681702317
Bulgaria,1991,0.003135561
Canada,2020,11944.3954892761
Canada,2019,12129.440015185
Canada,2018,12166.5161703804
Canada,2017,11108.9934724023
Canada,2016,11319.6182953987
Canada,2015,11055.8495982962
Canada,2014,10958.8596075436
Canada,2013,10078.1252185571
Canada,2012,9084.28703714668
Canada,2011,8592.53176298197
Canada,2010,7729.05363577473
Canada,2009,6909.97109869936
Canada,2008,6135.67115116636
Canada,2007,6077.57252813593
Canada,2006,5391.07606666372
Canada,2005,5107.03344257297
Canada,2004,4584.77356780635
Canada,2003,3979.85765304976
Canada,2002,3607.06766099863
Canada,2001,3159.2956287521
Canada,2000,2754.84203983593
Canada,1999,2160.36452105141
Canada,1998,1620.11150727323
Canada,1997,1122.30349100694
Canada,1996,810.62495471848
Canada,1995,460.505097239537
Canada,1992,829.7768
Canada,1991,1056.6608
Canada,1990,970.540192
Croatia,2020,1680.18470778835
Croatia,2019,1551.02994133744
Croatia,2018,1428.49865985527
Croatia,2017,1293.31243683187
Croatia,2016,1139.26144980997
