"Country or Area","Year","Value"
"Australia","2020","528149.456399617"
"Australia","2019","546606.624341056"
"Australia","2018","552484.024716441"
"Australia","2017","550874.867938502"
"Australia","2016","543976.812336764"
"Australia","2015","534936.016961654"
"Australia","2014","526711.779998652"
"Australia","2013","532267.334867726"
"Australia","2012","541899.740302483"
"Australia","2011","538663.87777036"
"Australia","2010","536893.737804177"
"Australia","2009","541475.792467023"
"Australia","2008","538590.714122566"
"Australia","2007","535807.551620325"
"Australia","2006","529240.641214476"
"Australia","2005","524811.845283562"
"Australia","2004","518408.437662019"
"Australia","2003","501128.976318902"
"Australia","2002","501000.842687318"
"Australia","2001","497352.025386861"
"Australia","2000","489528.649319222"
"Australia","1999","478136.874727016"
"Australia","1998","472145.831804056"
"Australia","1997","457864.510418591"
"Australia","1996","445847.225288782"
"Australia","1995","439269.877862795"
"Australia","1994","430848.497956106"
"Australia","1993","430381.730656997"
"Australia","1992","429473.084679731"
"Australia","1991","425686.444956654"
"Australia","1990","425624.307017106"
"Austria","2020","73592.0165184385"
"Austria","2019","79740.7384055657"
"Austria","2018","78558.026914763"
"Austria","2017","81792.1559486655"
"Austria","2016","79468.2968068815"
"Austria","2015","78486.7431276904"
"Austria","2014","76235.1517144253"
"Austria","2013","79772.018771552"
"Austria","2012","79309.940824444"
"Austria","2011","82007.4595272525"
"Austria","2010","84150.2250540238"
"Austria","2009","79584.5224282593"
"Austria","2008","86259.0204172573"
"Austria","2007","86841.3619590086"
"Austria","2006","89606.9797936335"
"Austria","2005","92029.496616268"
"Austria","2004","90856.235614156"
"Austria","2003","91209.6199313187"
"Austria","2002","85747.0736684861"
"Austria","2001","83989.2396956145"
"Austria","2000","80085.0277340392"
"Austria","1999","79922.2445038841"
"Austria","1998","81452.3806711145"
"Austria","1997","82134.0931005254"
"Austria","1996","82482.7820465391"
"Austria","1995","79283.4301431655"
"Austria","1994","76039.4717350331"
"Austria","1993","75806.3458789638"
"Austria","1992","75464.1216641962"
"Austria","1991","82095.3864941115"
"Austria","1990","78423.2207298205"
"Belarus","2020","88802.0581910838"
"Belarus","2019","92183.1724508831"
"Belarus","2018","92029.1377745719"
"Belarus","2017","89069.333234538"
"Belarus","2016","87468.2254722455"
"Belarus","2015","88139.1269426936"
"Belarus","2014","93264.1218798105"
"Belarus","2013","94304.9137854678"
"Belarus","2012","92258.7341187362"
"Belarus","2011","91198.8157271139"
"Belarus","2010","91791.6360604258"
"Belarus","2009","89636.7836986406"
"Belarus","2008","91663.2783003207"
"Belarus","2007","88242.4098820921"
"Belarus","2006","89915.2353456974"
